parent_product_code,child_product_code,quantity,output_quantity,assemble_on_pick
TOSP02,KT020,1,1,TRUE
TOSP02,SH150SS,1,1,TRUE
TOSP02,TO223,1,1,TRUE
TOSP02,TO229,1,1,TRUE
TOSP02,TO230,1,1,TRUE
TOSP02,TO231,1,1,TRUE
TOSP02,TO233,1,1,TRUE
TOSP02,VB020,1,1,TRUE
CO222.LMB,VB022,1,1,TRUE
CO222.LMB,KC022.LMB,1,1,TRUE
CO219,VB019,1,1,TRUE
CO219,KC019,1,1,TRUE
CO219.MB,VB019,1,1,TRUE
CO219.MB,KC019.MB,1,1,TRUE
CO220,VB020,1,1,TRUE
CO220,KC020,1,1,TRUE
CO220.MB,VB020,1,1,TRUE
CO220.MB,KC020.MB,1,1,TRUE
CO221,VB021,1,1,TRUE
CO221,KC021,1,1,TRUE
CO221.L,VB021,1,1,TRUE
CO221.L,KC021.L,1,1,TRUE
CO221.LMB,VB021,1,1,TRUE
CO221.LMB,KC021.LMB,1,1,TRUE
CO221.MB,VB021,1,1,TRUE
CO221.MB,KC021.MB,1,1,TRUE
CO222,VB022,1,1,TRUE
CO222,KC022,1,1,TRUE
CO222.L,VB022,1,1,TRUE
CO222.L,KC022.L,1,1,TRUE
TOSP04.MB,KT021.MB,1,1,TRUE
TOSP04.MB,SH150SS.MB,1,1,TRUE
TOSP04.MB,TO099.MB,1,1,TRUE
TOSP04.MB,TO223.MB,1,1,TRUE
TOSP04.MB,TO229.MB,1,1,TRUE
TOSP04.MB,TO230.MB,1,1,TRUE
TOSP04.MB,TO234.MB,1,1,TRUE
TOSP04.MB,VB021,1,1,TRUE
SKCO01,SH150SS,1,1,TRUE
SKCO01,CO231,1,1,TRUE
SKCO01,CO233,1,1,TRUE
SKCO01,CO235,1,1,TRUE
SKCO01.MB,CO231.MB,1,1,TRUE
SKCO01.MB,CO233.MB,1,1,TRUE
SKCO01.MB,CO235.MB,1,1,TRUE
SKCO01.MB,SH150SS.MB,1,1,TRUE
SKCO02,CO230,1,1,TRUE
SKCO02,CO231,1,1,TRUE
SKCO02,CO233,1,1,TRUE
SKCO02,SH150SS,1,1,TRUE
SKCO02.MB,CO230.MB,1,1,TRUE
SKCO02.MB,CO231.MB,1,1,TRUE
SKCO02.MB,CO233.MB,1,1,TRUE
SKCO02.MB,SH150SS.MB,1,1,TRUE
SKCO03,CO234,1,1,TRUE
SKCO03,CO235,1,1,TRUE
SKCO03,SH150SS,1,1,TRUE
SKCO03.MB,CO234.MB,1,1,TRUE
SKCO03.MB,CO235.MB,1,1,TRUE
SKCO03.MB,SH150SS.MB,1,1,TRUE
SKTO04.MB,SH150SS.MB,1,1,TRUE
SKTO04.MB,TO230.MB,1,1,TRUE
SKTO04.MB,TO234.MB,1,1,TRUE
SKTO04,SH150SS,1,1,TRUE
SKTO04,TO230,1,1,TRUE
SKTO04,TO234,1,1,TRUE
SKTO03,SH150SS,1,1,TRUE
SKTO03,TO234,1,1,TRUE
SKTO03,TO235,1,1,TRUE
SKTO03.MB,SH150SS.MB,1,1,TRUE
SKTO03.MB,TO234.MB,1,1,TRUE
SKTO03.MB,TO235.MB,1,1,TRUE
SKCO04,CO230,1,1,TRUE
SKCO04,CO234,1,1,TRUE
SKCO04,SH150SS,1,1,TRUE
SKTO02,SH150SS,1,1,TRUE
SKTO02,TO230,1,1,TRUE
SKTO02,TO231,1,1,TRUE
SKTO02,TO233,1,1,TRUE
SKTO02.MB,SH150SS.MB,1,1,TRUE
SKTO02.MB,TO230.MB,1,1,TRUE
SKTO02.MB,TO231.MB,1,1,TRUE
SKTO02.MB,TO233.MB,1,1,TRUE
SKCO04.MB,CO230.MB,1,1,TRUE
SKCO04.MB,CO234.MB,1,1,TRUE
SKCO04.MB,SH150SS.MB,1,1,TRUE
SKTO01,SH150SS,1,1,TRUE
SKTO01,TO231,1,1,TRUE
SKTO01,TO233,1,1,TRUE
SKTO01,TO235,1,1,TRUE
COSP01,CO223,1,1,TRUE
COSP01,CO229,1,1,TRUE
COSP01,CO230,1,1,TRUE
COSP01,CO234,1,1,TRUE
COSP01,KC020,1,1,TRUE
COSP01,SH150SS,1,1,TRUE
COSP01,VB020,1,1,TRUE
COSP01.MB,CO223.MB,1,1,TRUE
